DATE	A01	A02	A03	A04	A05	A06	B01	B02	B03	B04	B05	B06	B07	B08	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10
220228	33/33	33/33	33/33 WL1	33/33 WL1	33/33 WL6	35/35 WL3	35/35 WL6	35/35 WL8	35/35 WL7	35/35 WL9	35/35 WL7	35/35 WL7	N/A	N/A	33/33 WL20	33/33 WL19	33/33 WL19	33/33 WL20	32/32 WL18	32/32 WL19	N/A	N/A	N/A	N/A
220301	33/33 WL2	33/33 WL1	33/33 WL1	33/33 WL1	33/33 WL6	35/35 WL3	35/35 WL7	35/35 WL8	35/35 WL7	35/35 WL8	35/35 WL8	35/35 WL8	N/A	N/A	33/33 WL18	33/33 WL19	33/33 WL19	33/33 WL20	32/32 WL18	32/32 WL18	N/A	N/A	N/A	N/A
220302	33/33 WL4	33/33 WL2	33/33 WL2	33/33 WL2	33/33 WL6	35/35 WL4	35/35 WL7	35/35 WL7	35/35 WL7	35/35 WL7	35/35 WL8	35/35 WL8	N/A	N/A	33/33 WL18	33/33 WL20	33/33 WL18	33/33 WL20	32/32 WL18	32/32 WL18	N/A	N/A	N/A	N/A
220303	33/33 WL4	33/33 WL4	33/33 WL3	33/33 WL3	33/33 WL7	35/35 WL4	34/35 WL3	35/35 WL5	35/35 WL4	35/35 WL6	35/35 WL5	35/35 WL7	7/0	5/0	33/35 WL15	33/35 WL16	33/35 WL10	33/35 WL14	32/34 WL16	32/34 WL12	3/0 WL2	6/0	14/0	7/0 WL1
220304	33/33 WL4	33/33 WL3	33/33 WL3	33/33 WL3	33/33 WL7	35/35 WL4	35/35 WL3	35/35 WL2	35/35 WL4	35/35 WL7	35/35 WL3	35/35 WL7	7/0	8/0	35/35 WL3	35/35 WL9	35/35 WL4	35/35 WL4	34/34 WL3	34/34 WL4	15/0 WL1	13/0	26/0 WL1	22/0 WL1
220305	33/33 WL5	33/33 WL3	33/33 WL2	33/33 WL3	33/33 WL7	35/35 WL3	35/35 WL3	35/35 WL2	35/35 WL4	35/35 WL4	35/35 WL3	35/35 WL7	7/0	10/0	35/35 WL1	35/35 WL9	35/35 WL2	35/35 WL4	34/34 WL2	34/34 WL4	16/0 WL1	13/0	28/0 WL1	24/0 WL2
220306	33/33 WL5	33/33 WL4	33/33 WL2	33/33 WL3	33/33 WL7	35/35 WL3	35/35 WL3	35/35 WL2	35/35 WL4	35/35 WL4	34/35 WL3	35/35 WL7	7/0	9/0	35/35 WL1	35/35 WL8	35/35 WL2	35/35 WL5	34/34 WL2	34/34 WL4	16/0 WL2	13/0	28/0	25/0 WL2
220307	33/33 WL5	33/33 WL4	33/33 WL2	33/33 WL3	33/33 WL7	35/35 WL3	35/35 WL3	35/35 WL2	35/35 WL4	35/35 WL4	35/35 WL3	35/35 WL6	7/0	9/0	35/35 WL3	35/35 WL8	35/35 WL3	35/35 WL4	34/34 WL2	34/34 WL4	16/0 WL2	13/0	28/0	25/0 WL2
220308	33/33 WL5	33/33 WL4	33/33 WL3	33/33 WL2	33/33 WL7	35/35 WL3	35/35 WL3	35/35 WL3	35/35 WL4	35/35 WL4	35/35 WL4	35/35 WL6	7/0	9/0	35/35 WL4	35/35 WL8	35/35 WL3	35/35 WL4	34/34 WL2	34/34 WL4	16/0 WL3	13/0	28/0	25/0 WL2
220309	33/33 WL5	33/33 WL4	33/33 WL3	33/33 WL2	33/33 WL7	35/35 WL3	35/35 WL3	35/35 WL3	35/35 WL4	35/35 WL4	35/35 WL4	35/35 WL6	7/0	9/0	35/35 WL4	35/35 WL7	35/35 WL2	35/35 WL4	34/34 WL3	34/34 WL4	16/0 WL2	13/0 WL1	28/0 WL1	26/0 WL2
220310	33/33 WL6	33/33 WL4	33/33 WL3	33/33 WL2	33/33 WL7	35/35 WL3	35/35 WL3	35/35 WL3	35/35 WL4	35/35 WL4	35/35 WL4	35/35 WL6	7/0	9/0	35/35 WL4	35/35 WL6	35/35 WL2	35/35 WL4	34/34 WL4	34/34 WL3	16/0 WL2	14/0 WL1	28/0 WL1	26/0 WL2
220311	33/33 WL6	32/33 WL4	33/33 WL3	31/33 WL1	32/33 WL7	33/35 WL3	34/35 WL1	35/35 WL1	35/35 WL3	35/35 WL4	34/35 WL4	35/35 WL5	8/35	10/35	35/35 WL4	35/35 WL6	35/35 WL2	35/35 WL4	34/34 WL3	34/34 WL3	17/34 WL1	20/34	34/34	27/34 WL1
220312	33/33 WL5	32/33 WL2	32/33 WL3	29/33 WL1	33/33 WL5	34/35 WL1	33/35	35/35	34/35 WL3	35/35 WL3	35/35 WL3	35/35 WL3	8/35	11/35	35/35 WL4	35/35 WL6	35/35 WL2	35/35 WL4	34/34 WL3	34/34 WL3	17/34 WL1	34/34	34/34 WL1	27/34 WL1
220314	32/33 WL5	33/33 WL1	33/33 WL2	29/33 WL1	33/33 WL3	35/35	33/35	35/35	35/35 WL2	35/35 WL3	35/35 WL3	35/35 WL3	9/35	12/35	35/35 WL4	35/35 WL6	35/35 WL1	35/35 WL4	34/34 WL2	34/34 WL3	17/34 WL1	34/34 WL1	34/34 WL3	27/34 WL1
220316	33/33 WL4	33/33 WL1	33/33 WL2	28/33 WL1	33/33 WL3	35/35	33/35	34/35	35/35 WL2	35/35 WL3	35/35 WL3	35/35 WL3	9/35	15/35	35/35 WL4	35/35 WL6	35/35 WL1	35/35 WL4	33/34 WL2	34/34 WL3	17/34 WL2	34/34 WL1	34/34 WL3	27/34 WL1
220317	32/35 WL4	33/33 WL1	32/33 WL2	27/32 WL1	33/33 WL2	35/35 WL1	33/35	34/35	35/35 WL2	35/35 WL3	33/35 WL3	35/35 WL3	8/35	14/35	35/35 WL4	35/35 WL6	35/35 WL1	35/35 WL4	34/34 WL1	34/34 WL3	18/34 WL1	34/34 WL1	34/34 WL3	34/34 WL1
220321	34/35	33/33 WL1	32/33	25/32 WL1	33/33 WL2	35/35 WL1	35/35	35/35	35/35 WL2	35/35 WL2	35/35 WL1	35/35 WL3	9/35	14/35	35/35 WL3	35/35 WL4	35/35 WL1	35/35 WL3	34/34 WL2	34/34 WL3	20/34 WL1	34/34 WL2	34/34 WL3	34/34 WL2
220323	35/35	33/33	31/33	25/32 WL1	33/33 WL2	35/35	35/35	35/35	35/35 WL2	35/35 WL2	35/35 WL1	34/35 WL3	11/35	18/35	35/35 WL3	35/35 WL4	35/35 WL2	35/35 WL3	34/34 WL2	34/34 WL3	21/34 WL2	34/34 WL2	34/34 WL3	34/34 WL2
220324	35/35	33/33	33/33	25/32 WL1	32/33 WL2	35/35	35/35	35/35	35/35 WL2	35/35 WL2	35/35 WL1	35/35 WL2	12/35	22/35	35/35 WL3	35/35 WL5	35/35 WL2	35/35 WL3	34/34 WL2	34/34 WL3	22/34 WL1	34/34 WL1	34/34 WL4	34/34 WL4
220328	34/35	33/33	32/33	22/32 WL1	32/33 WL1	35/35	35/35	34/35	35/35 WL1	35/35 WL2	35/35 WL2	35/35 WL1	21/35	29/35	35/35 WL2	35/35 WL3	35/35 WL2	35/35 WL2	34/34 WL2	34/34 WL3	24/34 WL1	34/34 WL2	34/34 WL5	34/34 WL3
220328	34/35	33/33	32/33	22/32 WL1	32/33 WL1	35/35 WL1	35/35	35/35	35/35 WL1	35/35 WL2	34/35 WL2	35/35 WL1	22/35	29/35	35/35 WL3	35/35 WL3	34/35 WL3	35/35 WL2	34/34 WL2	34/34 WL3	24/34 WL2	34/34 WL3	34/34 WL4	34/34 WL3
220330	34/35 WL1	33/33	33/33	21/32 WL1	33/33	34/35 WL1	35/35	35/35	32/35 WL1	35/35 WL2	35/35 WL2	35/35	23/35	35/35	35/38 WL5	35/38 WL3	35/38 WL3	35/38 WL4	34/38 WL3	34/38 WL3	26/38 WL3	31/38 WL3	31/38 WL4	34/38 WL3
220331	35/35	33/33	32/33	22/32	31/33	34/35	35/35	35/35	35/35	34/35 WL2	34/35 WL2	35/35	28/35	35/35	38/38 WL1	38/38	38/38	38/38 WL1	37/38	37/38	28/38 WL1	34/38	36/38	37/38
220404	35/35	33/33	29/33	22/32	32/33	33/35	35/35	35/35	34/35	35/35	35/35	35/35	28/35	35/35	38/38 WL1	38/38 WL1	38/38 WL1	37/38 WL1	38/38 WL1	38/38	28/38 WL1	38/38	38/38	38/38 WL1
220405	35/35	33/33	28/33	22/32	32/33	34/35	34/35	35/35	34/35	35/35	35/35	35/35	28/35	34/35	38/38 WL1	38/38 WL1	38/38 WL1	37/38 WL1	38/38 WL1	38/38	28/38 WL1	38/38	38/38	38/38 WL1
220406	35/35	33/33	29/33	22/32	32/33	34/35	35/35	35/35	34/35	35/35	35/35	35/35	28/35	35/35	38/38	38/38 WL1	38/38 WL1	37/38 WL1	38/38 WL1	38/38	28/38 WL1	38/38	38/38 WL1	38/38
220407	35/35	33/33	29/33	22/32	32/33	34/35	35/35	35/35	34/35	35/35	35/35	35/35	28/35	35/35	38/38	38/38 WL1	38/38 WL1	37/38 WL1	38/38 WL1	38/38	28/38 WL1	38/38 WL1	38/38 WL1	38/38
220408	35/35	33/33	29/33	22/32	32/33	33/35	35/35	35/35	34/35	35/35	35/35	35/35	29/35	35/35	38/38	38/38	38/38	37/38 WL1	38/38 WL1	37/38	32/38	38/38	38/38	37/38
220410	35/35	33/33	29/33	22/32	32/33	33/35	35/35	35/35	33/35	35/35	35/35	34/35	29/35	35/35	38/38	38/38	38/38	37/38 WL1	37/38 WL1	37/38	32/38	38/38	38/38	37/38
