DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	B01	B02	B03	B04	B05	B06	C01	C02	C03	C04	C05	C06	C07	C08
220225	31/31 WL8	31/31 WL6	31/31 WL7	31/31 WL8	30/31 WL7	31/31 WL4	30/31 WL7	31/31 WL9	N/A	N/A	30/30 WL7	30/30 WL7	30/30 WL8	30/30 WL8	30/30 WL7	30/30 WL7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220226	31/31 WL10	31/31 WL10	31/31 WL12	31/31 WL11	31/31 WL10	31/31 WL9	31/31 WL9	31/31 WL9	N/A	N/A	29/30 WL8	30/30 WL7	30/30 WL13	30/30 WL12	30/30 WL9	30/30 WL10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220227	31/31 WL10	31/31 WL10	31/31 WL12	31/31 WL12	31/31 WL10	31/31 WL10	31/31 WL9	31/31 WL8	N/A	N/A	30/30 WL7	30/30 WL7	30/30 WL13	30/30 WL12	30/30 WL9	30/30 WL10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220228	31/31 WL10	31/31 WL10	31/31 WL12	31/31 WL12	31/31 WL10	31/31 WL10	31/31 WL9	31/31 WL8	N/A	N/A	30/30 WL7	30/30 WL7	30/30 WL14	30/30 WL11	30/30 WL9	30/30 WL10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220301	31/31 WL10	31/31 WL11	31/31 WL12	31/31 WL12	31/31 WL9	31/31 WL10	31/31 WL7	31/31 WL8	N/A	N/A	32/33 WL5	33/33 WL4	37/37 WL7	37/37 WL4	37/37 WL4	37/37 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220302	31/31 WL10	31/31 WL10	31/31 WL12	31/31 WL12	31/31 WL9	31/31 WL10	31/31 WL7	31/31 WL8	N/A	N/A	33/33 WL5	33/33 WL4	37/37 WL7	37/37 WL4	37/37 WL4	37/37 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220303	31/31 WL10	31/31 WL10	31/31 WL11	31/31 WL12	31/31 WL9	31/31 WL10	31/31 WL7	31/31 WL9	0/0	0/0	33/33 WL5	33/33 WL4	37/37 WL7	37/37 WL4	37/37 WL5	37/37 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220304	34/34 WL4	34/34 WL5	34/34 WL3	34/34 WL6	34/34 WL3	34/34 WL2	34/34 WL2	34/34 WL2	13/0	17/0	33/33 WL5	33/33 WL5	36/37 WL8	37/37 WL4	37/37 WL3	37/37 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220305	34/34 WL4	34/34 WL4	34/34 WL2	34/34 WL4	34/34 WL3	34/34 WL2	34/34 WL3	34/34 WL2	17/0 WL1	17/0	33/33 WL5	33/33 WL4	37/37 WL7	37/37 WL4	37/37 WL3	37/37 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220306	34/34 WL4	34/34 WL4	34/34 WL3	34/34 WL3	34/34 WL3	34/34 WL2	34/34 WL3	34/34 WL2	17/0 WL1	17/0 WL1	33/33 WL5	33/33 WL4	37/37 WL7	37/37 WL4	37/37 WL3	37/37 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220307	34/34 WL3	34/34 WL4	34/34 WL3	34/34 WL3	34/34 WL3	34/34 WL2	34/34 WL3	34/34 WL2	18/0 WL2	18/0 WL1	33/33 WL5	33/33 WL3	37/37 WL7	37/37 WL3	37/37 WL3	37/37 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220308	34/34 WL3	34/34 WL3	34/34 WL3	34/34 WL3	34/34 WL3	34/34 WL2	34/34 WL3	34/34 WL2	18/0 WL2	18/0 WL2	33/33 WL5	33/33 WL2	37/37 WL6	37/37 WL3	37/37 WL3	37/37 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220309	34/34 WL3	34/34 WL3	34/34 WL3	34/34 WL3	34/34 WL3	34/34 WL2	34/34 WL3	34/34 WL2	18/0 WL2	18/0 WL2	33/33 WL5	33/33 WL2	37/37 WL5	37/37 WL3	37/37 WL4	37/37 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220310	34/34 WL3	34/34 WL3	34/34 WL3	34/34 WL3	34/34 WL3	34/34 WL3	34/34 WL3	34/34 WL2	18/0 WL3	18/0 WL2	33/33 WL5	33/33 WL2	37/37 WL5	37/37 WL3	37/37 WL4	37/37 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220311	34/34 WL3	34/34 WL3	34/34 WL2	34/34 WL3	34/34 WL2	34/34 WL2	34/34 WL1	34/34 WL2	23/34	20/34	33/33 WL5	33/33 WL2	37/37 WL5	37/37 WL3	37/37 WL4	37/37 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220312	34/34 WL3	34/34 WL3	34/34 WL2	34/34 WL3	34/34 WL2	34/34 WL2	34/34 WL1	34/34 WL2	25/34	20/34	33/33 WL5	33/33 WL2	37/37 WL5	37/37 WL2	37/37 WL3	37/37 WL3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220314	34/34 WL3	34/34 WL3	34/34 WL1	34/34 WL3	34/34 WL2	34/34 WL2	34/34	34/34 WL1	34/34	23/34	33/33 WL5	33/33 WL3	37/37 WL4	37/37 WL2	37/37 WL3	37/37 WL3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220316	34/34 WL2	34/34 WL3	34/34 WL1	33/34 WL3	34/34 WL2	34/34 WL2	34/34	34/34 WL1	34/34	28/34	33/33 WL5	33/33 WL3	37/37 WL4	37/37 WL2	37/37 WL3	36/37 WL3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220317	33/34 WL2	34/34 WL3	34/34	34/34 WL2	34/34 WL2	34/34 WL1	34/34	34/34	34/34	32/34	33/33 WL5	33/33 WL3	37/37 WL3	37/37 WL2	37/37 WL3	37/37 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220321	34/34 WL2	34/34 WL3	33/34 WL1	34/34 WL1	34/34 WL2	34/34 WL1	33/34	34/34	34/34	34/34	33/33 WL5	33/33 WL4	37/37 WL4	37/37 WL2	37/37 WL2	37/37 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220323	34/34 WL2	34/34 WL3	34/34	34/34 WL1	34/34 WL1	34/34 WL1	33/34	34/34	34/34	34/34 WL1	33/33 WL5	33/33 WL5	36/37 WL3	37/37 WL2	37/37 WL2	37/37 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220324	33/34 WL2	34/34 WL3	34/34	33/34 WL1	34/34 WL1	34/34 WL1	34/34	34/34	34/34	34/34 WL1	32/33 WL5	33/33 WL4	37/37 WL2	37/37 WL2	37/37 WL2	37/37 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220328	34/34	34/34 WL1	34/34 WL1	34/34 WL1	33/34	34/34 WL1	34/34	34/34	34/34	34/34	33/33 WL2	33/33 WL3	37/37 WL2	37/37 WL3	37/37 WL3	37/37 WL1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220328	34/34	34/34 WL1	34/34 WL1	34/34 WL1	34/34	34/34 WL1	34/34	34/34	34/34 WL1	34/34 WL1	33/33 WL2	32/33 WL3	37/37 WL2	37/37 WL3	37/37 WL4	37/37 WL1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220330	34/35 WL1	34/35 WL1	33/35 WL1	34/35 WL1	34/35 WL1	34/35 WL1	34/35 WL1	34/35 WL1	34/35 WL1	34/35 WL1	33/33 WL3	33/33 WL3	36/37 WL3	34/37 WL3	37/37 WL4	36/37 WL3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220331	35/35	35/35	35/35	35/35	35/35	35/35	35/35	35/35	35/35	35/35	33/33 WL3	33/33 WL2	37/37 WL2	37/37	37/37 WL4	37/37 WL1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220404	35/35	35/36 WL1	35/36 WL1	35/35	35/35	34/35	35/35	35/35	34/35	35/35	33/33	33/33 WL2	37/37 WL2	37/37 WL1	37/37 WL3	37/37 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220405	35/35	35/36	36/36	35/35	35/35	35/35	35/35	34/35	35/35	35/35	33/33	33/33 WL2	37/37 WL1	37/37 WL1	37/37 WL3	37/37 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220406	35/35	35/36	35/36	35/35	35/35	35/35	34/35	35/35	35/35	35/35	33/33	32/33 WL2	37/37 WL1	37/37 WL1	37/37 WL2	37/37 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220407	35/35	34/36	35/36	35/35	35/35	35/35	34/35	35/35	35/35	35/35	33/33	33/33	37/37 WL1	37/37	37/37 WL1	37/37 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220408	35/35	35/36	36/36	35/35	34/35	35/35	34/35	34/35	35/35	35/35	33/33	33/33	38/38	37/37	38/38	37/37 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220410	35/35	35/36	36/36	35/35	34/35	35/35	34/35	35/35	35/35	35/35	33/33	33/33	38/38	37/37	38/38	37/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220412	35/35	35/36	35/36	35/35	34/35	35/35	34/35	33/35	35/35	35/35	33/33	33/33	38/38	37/37	38/38	37/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220417	35/35	34/36	35/36	34/35	34/35	33/35	33/35	33/35	35/35	34/35	33/33	33/33	38/38	37/37	38/38	37/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220823	30/30 WL13	29/30 WL5	30/30 WL5	30/30 WL5	30/30 WL6	30/30 WL5	30/30 WL4	30/30 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	35/35 WL3	29/35 WL2	21/35 WL1	22/35	35/35 WL2	27/35 WL1	24/35	25/35
