DATE	A01	A02	A03	A04	A05	A06	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24
220324	44/45 WL1	45/45 WL2	45/45 WL4	44/45 WL3	45/45 WL1	39/45	25/25	24/25	25/25	24/25	23/25	25/25	25/25	22/25	24/25 WL1	25/25	23/25	23/25	23/25	24/25	25/25	24/25	24/25	25/25	18/25	22/25	25/25	22/25	25/25	25/25
220328	45/45 WL1	45/45 WL2	45/45 WL1	45/45 WL2	45/45 WL1	45/45	25/25	25/25	25/25	25/25	25/25	25/25	25/25	23/25	25/25	25/25	24/25	22/25	22/25	25/25	25/25	24/25	24/25	23/25	21/25	22/25	25/25	23/25	25/25	23/25
220328	45/45 WL2	45/45 WL3	45/45 WL1	44/45 WL3	45/45 WL2	45/45 WL2	25/25	25/25	25/25	25/25	25/25	25/25	24/25	23/25	25/25	25/25	25/25	25/25	22/25	24/25	25/25	24/25	25/25	24/25	22/25	23/25	25/25	25/25	25/25	25/25
220330	43/45 WL5	43/44 WL3	42/43 WL4	45/45 WL4	46/45 WL4	45/44 WL5	25/25 WL1	25/25 WL2	25/25 WL1	26/25	25/25 WL1	25/25	25/25	25/25	26/25 WL1	25/25	25/25 WL1	24/25 WL1	25/25	25/25	25/25	25/25 WL1	25/25	24/25 WL1	25/25 WL1	25/25	25/25	25/25	24/25 WL1	25/25 WL1
220331	44/45 WL3	44/44 WL3	42/43 WL4	45/45 WL4	45/45 WL2	44/44 WL5	24/25 WL1	25/25 WL2	25/25 WL1	26/25 WL1	25/25 WL1	25/25	25/25	25/25 WL1	26/25 WL1	25/25 WL1	25/25 WL2	25/25	25/25	25/25 WL1	25/25	25/25	25/25	25/25 WL1	25/25	25/25	25/25	25/25	25/25 WL1	25/25 WL1
220404	45/45 WL3	44/45 WL2	42/45 WL3	45/45 WL2	45/45 WL3	45/45 WL4	25/25 WL1	25/25 WL1	26/25 WL1	25/25 WL1	25/25 WL1	25/25	25/25	25/25	26/25 WL1	25/25	25/25 WL1	25/25 WL1	25/25	25/25 WL1	25/25	25/25	25/25	25/25 WL1	25/25 WL1	25/25	25/25	25/25 WL1	25/25 WL1	25/25 WL1
220405	45/45 WL3	45/45 WL2	45/45 WL1	45/45 WL3	45/45 WL3	45/45 WL3	26/26	25/25 WL1	26/25 WL1	25/25	25/25 WL1	25/25	25/25	25/25	26/25 WL1	25/25	25/25 WL1	25/25	25/25	25/25 WL1	25/25	25/25	25/25	25/25 WL1	25/25 WL1	25/25	25/25	25/25 WL1	25/25 WL1	25/25 WL1
220406	45/45 WL3	44/45 WL2	45/45 WL1	45/45 WL2	45/45 WL2	45/45 WL2	26/26	25/25 WL1	26/25 WL1	25/25 WL1	25/25 WL1	25/25	25/25	25/25	25/25 WL1	25/25	25/25 WL1	25/25	24/25 WL1	25/25 WL1	25/25	25/25	25/25	25/25 WL1	25/25 WL1	25/25	25/25 WL1	25/25 WL1	25/25 WL1	25/25 WL1
220407	45/45 WL3	45/45 WL1	45/45	45/45 WL2	45/45 WL2	45/45 WL1	26/27	26/26	27/27	25/26	27/27	25/26	25/27	25/26	27/27	26/26	26/26 WL1	25/26	24/26	26/26	26/26	26/26	24/26	25/26	25/26	25/26	26/26	26/26	26/26	26/26
220408	45/45	45/45	44/44 WL1	45/45 WL1	44/44 WL1	45/45	26/27	25/26	27/27	25/26	27/27	25/26	25/27	25/26	27/27	26/26	27/27	25/26	25/26	26/26	25/26	26/26	24/26	25/26	25/26	26/26	26/26	26/26	26/26	26/26
220410	45/45	45/45	44/44 WL1	45/45 WL1	44/44	45/45	25/27	26/26	27/27	26/26	27/27	24/26	25/27	25/26	26/27	26/26	27/27	26/26	25/26	26/26	25/26	26/26	25/26	26/26	25/26	26/26	25/26	26/26	26/26	26/26
220412	45/45	45/45	44/44 WL1	45/45 WL1	44/44	44/45	25/27	26/26	27/27	26/26	27/27	24/26	25/27	25/26	26/27	26/26	27/27	26/26	24/26	26/26	25/26	26/26	24/26	26/26	25/26	26/26	24/26	26/26	26/26	26/26
220417	44/45	44/45	43/44 WL1	45/45 WL1	43/44	44/45	25/27	26/26	26/27	26/26	27/27	23/26	25/27	25/26	26/27	26/26	27/27	26/26	24/26	26/26	25/26	26/26	23/26	26/26	25/26	22/26	25/26	26/26	26/26	25/26
220417	23/30	2/30	7/30	3/30	N/A	N/A	30/30 WL10	30/30 WL7	30/30 WL7	30/30 WL8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220625	23/30	20/30	26/30	N/A	N/A	N/A	36/36	36/36	36/36	36/36	36/36	34/36	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
