DATE	001	002	003	004	005	006	007	008	009	010	011	012	A00	B00	C00	D00	E00	F00	G00	H00	I00	J00	K00	L00
220306	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9/50	10/50	7/50	10/50	7/50	15/50	7/50	13/50	10/50	8/50	8/50	13/50
220307	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9/50	10/50	8/50	11/50	7/50	15/50	7/50	14/50	10/50	8/50	8/50	13/50
220308	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9/50	10/50	9/50	11/50	7/50	15/50	7/50	14/50	10/50	8/50	11/50	13/50
220309	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9/50	10/50	9/50	11/50	7/50	14/50	7/50	14/50	10/50	8/50	11/50	13/50
220310	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9/50	10/50	11/50	11/50	7/50	14/50	7/50	16/50	10/50	8/50	12/50	14/50
220311	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9/50	10/50	11/50	11/50	7/50	14/50	7/50	16/50	10/50	9/50	12/50	14/50
220312	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9/50	10/50	11/50	13/50	7/50	14/50	7/50	16/50	12/50	10/50	12/50	14/50
220314	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9/50	11/50	11/50	13/50	7/50	14/50	7/50	16/50	12/50	10/50	12/50	14/50
220317	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9/50	11/50	12/50	13/50	7/50	14/50	7/50	16/50	12/50	10/50	12/50	16/50
220321	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9/50	11/50	14/50	13/50	7/50	15/50	7/50	16/50	12/50	10/50	13/50	16/50
220324	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9/50	11/50	14/50	13/50	7/50	15/50	7/50	17/50	12/50	10/50	13/50	16/50
220328	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9/50	12/50	14/50	13/50	7/50	15/50	7/50	17/50	12/50	10/50	13/50	16/50
220330	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9/50	12/50	14/50	14/50	7/50	15/50	7/50	17/50	12/50	10/50	13/50	16/50
220404	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9/50	12/50	14/50	14/50	7/50	15/50	7/50	16/50	12/50	10/50	14/50	16/50
220823	7/50	11/50	12/50	12/50	8/50	17/50	9/50	10/50	12/50	9/50	12/50	14/50	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
