DATE	A01	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12
220227	N/A	30/30	30/30 WL4	30/30 WL1	30/30 WL1	30/30	28/28	30/30	30/30	30/30	30/30	30/30 WL1	29/30	30/30 WL2	30/30 WL2	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL2	30/30 WL1	30/30	30/30	30/30	30/30	19/30
220228	N/A	30/30	30/30 WL4	30/30 WL1	30/30 WL1	30/30	28/28	30/30 WL1	30/30	30/30	30/30	30/30 WL1	30/30	30/30 WL2	30/30 WL2	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL2	30/30 WL1	30/30	30/30	30/30	30/30	19/30
220301	N/A	30/30	30/30 WL4	30/30 WL1	30/30 WL1	30/30	28/28	30/30 WL1	30/30 WL1	30/30	30/30	30/30 WL1	30/30	30/30 WL2	30/30 WL2	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL2	30/30 WL1	30/30	30/30	30/30	30/30	22/30
220302	N/A	30/30	30/30 WL4	30/30 WL1	30/30 WL1	30/30	28/28	30/30 WL1	30/30 WL1	30/30	30/30	30/30 WL1	30/30	30/30 WL2	30/30 WL4	30/30 WL1	30/30	30/30 WL1	30/30 WL2	30/30 WL1	30/30	30/30	30/30	30/30	22/30
220303	N/A	30/30	30/30 WL4	30/30 WL2	30/30 WL2	30/30	28/28	30/30 WL2	30/30 WL1	30/30	30/30	30/30 WL1	30/30	30/30 WL2	30/30 WL4	30/30 WL1	30/30	30/30 WL1	30/30 WL2	30/30 WL1	30/30	30/30	29/30	30/30	22/30
220304	N/A	30/30	30/30 WL4	30/30 WL2	30/30 WL2	30/30	28/28	30/30 WL2	30/30 WL1	30/30	30/30	30/30 WL1	30/30	30/30 WL2	30/30 WL4	30/30 WL1	30/30	30/30 WL1	30/30 WL2	30/30 WL1	30/30	30/30	30/30	30/30	24/30
220305	N/A	30/30	30/30 WL4	30/30 WL2	30/30 WL2	30/30	28/28	30/30 WL2	30/30 WL1	30/30	30/30	30/30 WL1	29/30	30/30 WL2	30/30 WL4	30/30 WL1	30/30	30/30 WL1	30/30 WL2	30/30 WL1	30/30	30/30	30/30	30/30	25/30
220306	N/A	30/30	30/30 WL4	30/30 WL2	30/30 WL2	30/30	28/28	30/30 WL2	30/30 WL1	30/30	30/30	30/30 WL1	30/30	30/30 WL2	30/30 WL4	30/30 WL1	30/30	30/30 WL1	30/30 WL2	30/30 WL1	30/30	30/30	30/30	30/30	25/30
220308	N/A	30/30 WL1	30/30 WL4	30/30 WL2	30/30 WL1	30/30	28/28	30/30 WL2	30/30 WL1	30/30	30/30	29/30 WL1	30/30	30/30 WL2	30/30 WL3	30/30 WL1	30/30	30/30 WL1	30/30 WL2	30/30 WL1	30/30	30/30	30/30	30/30	26/30
220309	N/A	30/30 WL1	30/30 WL4	30/30 WL2	30/30 WL1	30/30 WL1	28/28	30/30 WL1	30/30 WL1	30/30	30/30	30/30	30/30	30/30 WL3	30/30 WL3	30/30 WL1	30/30	30/30 WL1	30/30 WL2	30/30 WL1	30/30	30/30	30/30	30/30	27/30
220310	N/A	29/30 WL1	30/30 WL4	30/30 WL2	30/30 WL1	30/30 WL1	28/28	30/30 WL1	30/30 WL1	30/30	30/30	30/30	30/30	29/30 WL3	30/30 WL3	30/30 WL1	30/30	30/30 WL1	30/30 WL2	30/30 WL1	30/30 WL1	30/30	30/30	30/30	28/30
220311	N/A	29/30 WL1	30/30 WL4	30/30 WL2	30/30 WL1	30/30 WL1	28/28 WL1	30/30 WL1	30/30 WL1	30/30	30/30	30/30	30/30	30/30 WL2	30/30 WL2	29/30 WL1	30/30	30/30 WL1	30/30 WL2	30/30 WL1	30/30 WL1	30/30	30/30	30/30	29/30
220312	N/A	28/30 WL1	30/30 WL4	30/30 WL2	30/30 WL1	30/30 WL1	28/28	30/30 WL1	30/30 WL1	30/30	30/30	30/30	30/30	30/30 WL2	30/30 WL2	29/30 WL1	30/30	30/30 WL1	30/30 WL2	30/30 WL1	30/30 WL1	30/30	30/30	30/30	29/30
220314	N/A	28/30 WL1	30/30 WL4	30/30 WL2	30/30 WL1	30/30 WL1	28/28	30/30 WL1	30/30 WL1	30/30	30/30	30/30	30/30 WL1	30/30 WL2	30/30 WL2	29/30 WL1	30/30	30/30 WL1	30/30 WL2	30/30 WL1	30/30 WL1	30/30	30/30	30/30	30/30
220316	N/A	28/30 WL1	30/30 WL4	30/30 WL2	30/30 WL1	30/30 WL1	28/28	30/30 WL1	30/30 WL1	30/30 WL1	30/30	30/30	30/30	30/30 WL2	30/30 WL1	30/30	30/30 WL1	30/30 WL1	29/30 WL2	30/30 WL1	30/30 WL1	30/30	30/30	30/30	30/30
220317	N/A	28/30 WL2	30/30 WL4	30/30 WL2	30/30 WL1	30/30 WL1	28/28 WL1	30/30 WL1	30/30 WL1	30/30	30/30	30/30	30/30	30/30 WL2	30/30 WL1	30/30	30/30	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	30/30	30/30	30/30	30/30
220321	N/A	29/30 WL1	30/30 WL4	30/30 WL2	30/30	30/30 WL1	28/28 WL2	30/30 WL1	30/30 WL1	30/30	30/30	30/30	30/30	30/30 WL2	30/30 WL1	30/30 WL1	30/30	30/30 WL1	30/30 WL1	30/30	30/30	30/30 WL1	30/30	30/30	29/30
220323	N/A	29/30 WL1	30/30 WL4	30/30 WL2	30/30 WL1	30/30	28/28 WL2	30/30 WL1	30/30 WL1	30/30	30/30	30/30 WL1	30/30	30/30 WL2	30/30 WL1	30/30 WL1	30/30	30/30 WL1	30/30 WL1	30/30	30/30	30/30 WL1	30/30	30/30	30/30
220324	N/A	29/30 WL1	30/30 WL4	29/30 WL2	30/30 WL1	30/30 WL1	28/28 WL2	29/30 WL1	30/30 WL1	30/30	30/30	30/30 WL1	30/30	30/30 WL2	30/30 WL1	30/30	30/30	30/30 WL1	30/30 WL1	30/30	30/30	30/30 WL1	30/30	30/30	30/30
220328	N/A	29/30 WL2	30/30 WL3	30/30 WL1	30/30 WL1	30/30	28/28 WL2	30/30 WL1	30/30 WL1	30/30	30/30	30/30	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	30/30	30/30	30/30 WL1	30/30	30/30	30/30 WL1	30/30	30/30	30/30
220328	N/A	29/30 WL2	30/30 WL3	30/30 WL1	29/30 WL1	30/30 WL3	28/28 WL3	30/30 WL2	30/30 WL2	30/30 WL2	30/30 WL2	30/30	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	30/30	30/30	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL2
220330	N/A	28/30 WL1	30/30 WL2	30/30 WL2	29/30 WL2	27/30 WL3	27/28 WL2	30/30 WL3	30/30 WL2	30/30 WL2	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL2	30/30 WL1	30/30 WL2	29/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	28/30 WL1	29/30 WL1	30/30 WL1	29/30 WL3
220331	N/A	29/30	30/30 WL3	32/35	31/35	30/35	28/28 WL1	30/30 WL3	31/35	31/36	31/35	31/35	32/36	30/30 WL2	30/30 WL1	29/30 WL2	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	30/30	30/30	30/30 WL3	30/30 WL1
220404	N/A	29/30	30/30 WL1	33/35	34/35	32/35	28/28	30/30 WL2	33/35	31/36	29/35	32/35	32/36	30/30 WL2	30/30	30/30	30/30	30/30 WL1	30/30	30/30	30/30	30/30	30/30	30/30 WL1	30/30
220405	N/A	29/30	30/30 WL1	33/35	35/35	31/35	28/28	30/30 WL2	33/35	30/36	29/35	32/35	30/36	30/30 WL2	29/30	29/30	30/30	30/30 WL1	29/30	30/30	30/30	29/30	30/30	30/30 WL1	30/30
220406	N/A	29/30	30/30 WL1	34/35	35/35	32/35	28/28	30/30 WL2	33/35	30/36	29/35	32/35	30/36	30/30	30/30	30/30	30/30	30/30	30/30	30/30	30/30	30/30	30/30	29/30	30/30
220407	N/A	29/30	30/30 WL1	34/35	35/35	31/35	28/28	30/30 WL2	33/35	30/36	28/35	33/35	30/36	30/30	30/30	30/30	30/30	30/30	30/30	30/30	30/30	30/30	30/30	29/30	29/30
220408	N/A	30/30	30/30 WL1	33/35	35/35	32/35	28/28	29/30 WL1	33/35	30/36	28/35	32/35	30/36	29/30	30/30	30/30	30/30	30/30	30/30	30/30	30/30	29/30	30/30	29/30	29/30
220410	N/A	30/30	30/30	34/35	35/35	32/35	28/28	29/30 WL1	33/35	30/36	28/35	32/35	30/36	29/30	30/30	30/30	30/30	30/30	29/30	30/30	30/30	29/30	30/30	29/30	29/30
220412	N/A	30/30	30/30	34/35	35/35	32/35	28/28	29/30 WL1	32/35	30/36	28/35	32/35	29/36	29/30	30/30	30/30	30/30	30/30	29/30	30/30	30/30	29/30	30/30	29/30	29/30
220417	N/A	30/30	29/30	34/35	34/35	32/35	27/28	29/30 WL1	32/35	29/36	28/35	32/35	28/36	29/30	30/30	30/30	29/30	30/30	29/30	29/30	30/30	28/30	30/30	28/30	29/30
220417	56/115	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220625	62/115	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
