DATE	A01	A02	A03	A04	A05	A06	A07	A08	B01	B02	B03	B04	B05	B06	B07	B08	C01	C02	C03	C04	C05	C06	C07	C08	D01	D02	D03	D04	D05	D06	D07	D08
220225	40/40 WL8	40/40 WL6	40/40 WL7	40/40 WL6	40/40 WL7	40/40 WL7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220226	40/40 WL9	40/40 WL8	40/40 WL8	40/40 WL6	40/40 WL6	40/40 WL8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220228	40/40 WL9	40/40 WL8	40/40 WL8	40/40 WL7	40/40 WL6	40/40 WL8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220301	40/40 WL9	40/40 WL8	40/40 WL9	39/40 WL7	40/40 WL7	40/40 WL8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220302	40/40 WL9	40/40 WL7	39/40 WL9	40/40 WL6	40/40 WL7	40/40 WL7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220303	40/40 WL9	40/40 WL7	40/40 WL8	40/40 WL6	40/40 WL7	40/40 WL7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220304	40/40 WL9	40/40 WL7	40/40 WL8	40/40 WL5	40/40 WL7	40/40 WL7	1/40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220305	40/40 WL9	40/40 WL6	40/40 WL8	40/40 WL6	40/40 WL5	40/40 WL7	3/40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220306	40/40 WL9	40/40 WL6	40/40 WL8	40/40 WL6	40/40 WL4	40/40 WL5	5/40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220307	40/40 WL9	40/40 WL6	40/40 WL8	40/40 WL6	40/40 WL4	40/40 WL5	7/40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220308	40/40 WL9	40/40 WL6	40/40 WL8	40/40 WL6	40/40 WL4	40/40 WL4	11/40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220309	40/40 WL9	40/40 WL5	40/40 WL5	40/40 WL3	40/40 WL3	40/40 WL3	19/40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220310	40/40 WL9	40/40 WL4	40/40 WL5	40/40 WL3	40/40 WL2	40/40 WL3	21/40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220311	40/40 WL9	40/40 WL4	40/40 WL5	39/40 WL3	40/40 WL2	40/40 WL3	22/40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220312	40/40 WL9	40/40 WL4	40/40 WL5	40/40 WL2	40/40 WL2	40/40 WL3	22/40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220314	40/40 WL8	40/40 WL4	40/40 WL5	40/40 WL1	40/40 WL1	40/40 WL3	25/40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220316	38/40 WL7	40/40 WL3	40/40 WL4	40/40 WL1	40/40 WL1	40/40 WL3	31/40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220317	40/40 WL4	40/40 WL3	40/40 WL4	40/40 WL1	40/40 WL1	40/40 WL3	32/40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220321	40/40 WL4	40/40 WL3	40/40 WL4	40/40	40/40	40/40 WL3	35/39	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220323	40/40 WL3	40/40 WL3	39/40 WL4	40/40 WL3	40/40 WL3	39/40 WL3	39/39 WL3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220324	40/40 WL3	40/40 WL3	40/40 WL3	39/40 WL3	40/40 WL3	40/40 WL3	37/39 WL3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220328	40/40 WL2	40/40 WL3	40/40 WL4	40/40 WL2	40/40 WL3	40/40 WL3	39/39 WL1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220328	40/40 WL2	40/40 WL3	40/40 WL4	40/40 WL2	40/40 WL3	40/40 WL3	39/39 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220330	40/40 WL4	40/40 WL3	40/45 WL4	40/40 WL3	40/40 WL3	40/45 WL3	39/39 WL3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220331	40/40 WL4	40/40 WL2	45/45	40/40 WL2	40/40 WL3	44/45	39/39 WL3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220404	40/40 WL2	40/40 WL2	44/45 WL1	40/40 WL2	40/40 WL2	45/45 WL2	39/39 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220405	40/40 WL2	40/40 WL2	45/45	40/40 WL2	40/40 WL2	45/45 WL2	39/39 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220406	42/42	42/42	45/45	42/42	42/42	46/47	41/41	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220407	42/42	41/42	45/45	42/42	42/42	45/47	40/41	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220408	42/42	39/42	45/45	42/42	42/42	44/47	41/41	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220410	42/42	40/42	45/45	41/42	42/42	44/47	41/41	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220417	41/42	40/42	45/45	41/42	41/42	44/47	40/41	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220417	56/100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220417	100/100 WL7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220823	32/40	31/40	31/40	0/0	31/40	31/40	35/40	30/37	31/40 WL2	33/40 WL2	35/40 WL2	35/40 WL3	32/40 WL1	32/40 WL2	32/40 WL2	0/0	40/40 WL10	40/40 WL11	40/40 WL11	40/40 WL11	40/40 WL10	40/40 WL11	40/40 WL13	0/0	40/40 WL3	39/40 WL2	37/40 WL5	35/40 WL1	0/0	40/40 WL5	33/40 WL3	31/40 WL2
