DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060	061	062	063	064	065	066	067	068	069	070	071	072	073	074	075	076
220316	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	3	0	2	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	2	7	1	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220317	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	2	0	0	2	0	0	3	0	2	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	2	7	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220321	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	2	0	0	2	0	0	3	0	2	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	2	7	1	1	1	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220323	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	2	0	0	2	0	0	4	0	2	1	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	2	7	1	1	1	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220324	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	2	0	0	2	0	0	4	0	2	1	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	2	8	1	1	1	2	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220328	0	0	0	1	0	1	2	1	0	0	0	0	0	1	0	2	0	0	2	0	0	4	0	1	1	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	2	2	7	1	1	1	2	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220328	0	0	0	1	0	1	3	1	0	0	0	0	0	1	0	2	0	0	2	0	0	4	0	1	1	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	2	3	7	1	1	1	2	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220330	0	0	0	1	0	1	3	1	0	0	0	0	0	1	0	4	0	0	2	0	0	4	0	1	1	0	0	2	0	0	0	1	0	2	0	1	2	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	3	3	9	1	1	1	2	0	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220331	0	0	0	1	0	1	3	1	0	0	0	0	0	1	0	4	0	0	2	0	0	4	0	1	1	0	0	2	0	0	0	1	0	2	0	1	2	0	0	0	0	1	2	2	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	3	3	9	1	1	1	2	1	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220404	0	0	0	1	0	1	3	0	0	0	0	0	0	1	0	4	0	0	2	0	0	4	0	2	1	0	0	2	0	0	0	1	0	2	0	1	2	0	0	0	0	2	2	3	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	3	3	11	1	1	1	2	1	2	1	0	N/A	N/A	N/A	N/A	N/A
220405	0	0	0	1	0	1	3	0	0	0	0	0	0	1	0	3	0	0	2	0	0	4	0	2	1	0	0	2	0	0	0	1	0	2	0	1	2	0	0	0	0	2	2	3	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	3	3	11	1	1	1	2	1	2	1	0	N/A	N/A	N/A	N/A	N/A
220406	0	0	0	1	0	1	4	0	0	0	0	0	0	1	0	3	0	0	2	0	0	4	0	2	1	0	0	2	0	0	0	1	0	2	0	1	2	0	0	0	0	2	2	3	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	3	3	11	1	1	1	2	1	2	1	1	1	1	0	0	N/A
220407	0	0	0	1	0	1	4	0	0	0	0	0	0	1	0	3	0	0	2	0	0	4	0	2	1	0	0	3	0	0	0	1	0	2	0	1	2	0	0	0	0	2	2	3	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	3	4	12	1	1	1	2	1	2	1	1	1	1	0	0	N/A
220408	0	0	0	1	0	1	8	0	1	0	0	0	0	1	0	4	0	0	2	0	0	4	0	2	1	0	0	4	0	0	0	1	0	2	0	1	3	0	0	0	0	3	2	4	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	3	4	14	1	1	1	1	1	2	1	1	1	1	1	1	2
220410	0	0	0	1	0	1	8	0	1	0	0	0	0	1	0	4	0	0	2	0	0	4	0	2	1	0	0	5	0	0	0	1	0	2	0	1	3	0	0	0	0	3	2	4	0	0	0	1	0	0	0	1	1	1	0	0	1	0	2	0	4	4	14	1	1	1	1	1	2	1	1	1	1	1	1	2
220417	0	0	0	1	0	1	9	0	1	0	0	0	0	1	0	4	0	0	2	0	0	4	0	2	1	0	0	5	0	0	0	1	0	2	0	1	3	0	0	0	0	3	2	4	0	0	0	1	0	0	0	1	1	1	0	0	1	0	2	0	4	4	14	1	1	1	1	1	2	1	1	1	1	1	1	2
