DATE	A01	A02	A03	A04	A05	A06	B01	B02	B03	B04	B05	B06
220302	40/40 WL1	40/40	40/40 WL2	34/40	33/40	17/40	40/40 WL2	38/38 WL1	40/40 WL1	40/40 WL2	37/37 WL3	40/40 WL3
220303	40/40 WL1	40/40	40/40 WL2	36/40	32/40	18/40	40/40 WL2	38/38 WL1	40/40 WL1	40/40 WL2	37/37 WL3	40/40 WL3
220304	40/40 WL1	40/40 WL1	40/40 WL2	38/40	32/40	18/40	40/40 WL2	38/38 WL2	39/40 WL2	40/40 WL2	37/37 WL3	40/40 WL3
220305	40/40 WL1	40/40 WL1	40/40 WL2	38/40	32/40	19/40	40/40 WL2	38/38 WL2	40/40 WL1	40/40 WL2	37/37 WL3	40/40 WL3
220307	40/40 WL1	40/40 WL1	40/40 WL2	38/40	32/40	20/40	40/40 WL3	38/38 WL2	40/40 WL2	40/40 WL2	37/37 WL3	40/40 WL3
220309	40/40 WL1	40/40 WL1	40/40 WL2	39/40	31/40	20/40	40/40 WL3	38/38 WL2	40/40 WL2	40/40 WL2	37/37 WL3	40/40 WL3
220310	40/40 WL1	40/40 WL1	40/40 WL2	39/40	32/40	20/40	40/40 WL3	38/38 WL2	40/40 WL2	40/40 WL2	37/37 WL3	40/40 WL3
220311	40/40 WL1	40/40 WL1	40/40 WL2	40/40	32/40	20/40	40/40 WL3	38/38 WL1	40/40 WL2	40/40 WL1	37/37 WL3	40/40 WL3
220312	40/40 WL1	40/40 WL1	40/40 WL2	40/40	34/40	20/40	40/40 WL3	38/38 WL1	40/40 WL2	40/40 WL1	37/37 WL3	40/40 WL3
220314	40/40 WL1	40/40	39/40 WL2	40/40	36/40	20/40	40/40 WL3	37/38 WL2	40/40 WL1	40/40 WL1	37/37 WL3	40/40 WL3
220316	40/40 WL1	40/40	39/40 WL1	40/40	38/40	21/40	40/40 WL2	38/38 WL2	40/40 WL1	40/40 WL2	37/37 WL3	40/40 WL2
220317	40/40 WL1	40/40	39/40 WL1	40/40	38/40	20/40	40/40 WL2	38/38 WL2	40/40 WL1	40/40 WL1	37/37 WL3	40/40 WL2
220321	40/40 WL1	40/40	39/40	39/40	37/40	20/40	40/40 WL2	38/38 WL2	40/40 WL1	40/40 WL2	37/37 WL3	40/40 WL3
220323	39/40 WL1	40/40	40/40	40/40	40/40	21/40	40/40 WL3	38/38 WL2	40/40 WL2	39/40 WL4	36/37 WL3	40/40 WL2
220324	39/40 WL1	40/40 WL1	40/40	40/40	40/40	26/40	40/40 WL4	38/38 WL2	40/40 WL1	40/40 WL3	37/37 WL4	40/40 WL3
220328	38/40 WL1	40/40	40/40 WL1	40/40	40/40	31/40	40/40 WL3	38/38 WL2	40/40 WL3	40/40 WL2	37/37 WL3	40/40 WL3
220328	38/40 WL1	40/40 WL1	40/40 WL1	40/40	40/40	40/40	39/40 WL4	37/38 WL2	40/40 WL3	39/40 WL3	37/37 WL3	40/40 WL4
220330	37/40 WL3	40/40 WL2	40/40 WL3	40/40 WL2	39/40 WL2	37/40 WL1	40/40 WL4	37/38 WL3	40/40 WL4	40/40 WL2	37/40 WL2	40/46 WL6
220331	40/40 WL1	40/40 WL3	40/40 WL3	40/40 WL1	40/40	40/40	40/40 WL4	38/38 WL1	40/40 WL4	40/40 WL2	40/40	45/46 WL1
220404	40/40 WL2	39/40 WL1	40/40 WL1	40/40	40/40 WL1	40/40	40/40 WL4	38/38 WL1	39/40 WL2	40/40 WL2	41/40 WL2	47/47 WL1
220405	40/40 WL2	40/40	40/40	39/40	40/40	40/40 WL1	40/40 WL3	38/38 WL1	40/40	40/40 WL2	41/40 WL2	47/47 WL2
220406	40/40 WL2	40/40	40/40	40/40	40/40	40/40	40/40 WL3	38/38 WL1	40/40	40/40 WL2	41/40 WL2	47/47 WL2
220407	40/40 WL2	40/40	39/40	40/40	40/40	40/40	40/40 WL2	38/38 WL1	40/40 WL1	40/40 WL2	41/40 WL2	47/47 WL2
220408	40/40 WL2	40/40	40/40	40/40	40/40	40/40	40/40 WL1	38/38 WL1	40/40 WL1	40/40 WL2	41/40 WL1	47/47 WL1
220410	40/40 WL2	40/40	40/40	40/40	40/40	40/40	40/40 WL1	38/38 WL1	40/40	40/40 WL2	41/40	46/47 WL1
220412	40/40 WL2	40/40	40/40	40/40	40/40	40/40	40/40 WL1	38/38 WL1	39/40	40/40 WL2	41/40	45/47 WL1
220417	39/40 WL2	40/40	39/40	40/40	36/40	40/40	40/40 WL1	38/38	40/40	38/40 WL2	38/40	45/47 WL1
220417	89/100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220417	21/100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
