DATE	001	002	003	004	006	007	008	009	011	012	013	015	016	017	018	019	020	022	023	024	027	028	029	030	031	036	A00	B00	C00	D00	E00	F00	G00	H00	I00	J00
220328	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15 WL1	15/15 WL1	15/15 WL3	15/15 WL1	15/15 WL2	15/15	13/15	15/15	15/15
220330	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15 WL1	15/15 WL1	15/15 WL2	15/15 WL1	15/15 WL1	15/15 WL1	15/15	15/15	15/15 WL1
220331	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	14/15	15/15 WL1	15/15 WL1	15/15 WL2	15/15 WL1	15/15 WL1	15/15 WL1	15/15	15/15	15/15 WL1
220404	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15 WL1	15/15 WL1	15/15 WL2	15/15 WL1	15/15 WL1	15/15 WL1	15/15	15/15	15/15 WL1
220405	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15 WL1	15/15 WL1	15/15 WL2	15/15 WL1	15/15 WL1	15/15	15/15	15/15 WL1	15/15 WL1
220406	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15 WL1	15/15 WL1	15/15 WL2	15/15 WL1	15/15 WL1	15/15	15/15	15/15	15/15 WL1
220408	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15 WL1	15/15	15/15 WL2	15/15 WL1	15/15 WL1	15/15	14/15	15/15	15/15 WL1
220417	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15/15	15/15 WL1	14/15	15/15 WL2	15/15 WL1	15/15 WL1	15/15	14/15	15/15	15/15 WL1
220417	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5/15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220625	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	12/15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220823	13/15 WL1	15/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	20/20	20/20	20/20	20/20	20/20	20/20	20/20	20/20	20/20 WL1	20/20	20/20	20/20	20/20	20/20	20/20	20/20 WL1	20/20 WL1	20/20	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
